t,qL_rad,qR_rad,x_m,y_m,theta_rad,sensor_raw
0.0,0.2792526803190927,0.2792526803190927,0.0,0.0,0.0,255
0.20007299999997485,0.6981317007977318,0.6981317007977318,0.00900589894029074,0.0,0.0,255
0.40002400000003036,1.2566370614359172,1.2566370614359172,0.021013764194011728,0.0,0.0,247
0.5999750000000859,1.8151424220741028,1.8151424220741028,0.033021629447732716,0.0,0.0,231
0.8000480000000607,2.234021442552742,2.3736477827122884,0.04352851154473858,0.0,0.026803270655627237,255
1.0,2.792526803190927,2.792526803190927,0.05403161971516917,0.0002815850859268669,-1.3877787807814457e-17,255
1.2000729999999749,3.351032163829113,3.351032163829113,0.06603948496889016,0.00028158508592686675,-1.3877787807814457e-17,255
1.4000240000000304,3.9095375244672983,3.9095375244672983,0.07804735022261114,0.0002815850859268666,-1.3877787807814457e-17,247
1.5999750000000859,4.328416544945937,4.468042885105484,0.088554232319617,0.0002815850859268664,0.026803270655627237,247
1.8000480000000607,4.886921905584122,4.886921905584122,0.09905734049004758,0.0005631701718537333,-1.3877787807814457e-17,255
2.0,5.445427266222308,5.445427266222308,0.11106520574376856,0.0005631701718537331,-1.3877787807814457e-17,255
2.200072999999975,6.003932626860494,6.003932626860494,0.12307307099748957,0.0005631701718537328,-1.3877787807814457e-17,255
2.4000240000000304,6.562437987498679,6.562437987498679,0.13508093625121056,0.0005631701718537326,-1.3877787807814457e-17,247
2.599975000000086,6.981317007977318,6.981317007977318,0.14408683519150128,0.0005631701718537325,-1.3877787807814457e-17,247
2.8000480000000607,7.5398223686155035,7.5398223686155035,0.15609470044522228,0.0005631701718537323,-1.3877787807814457e-17,255
3.0,8.09832772925369,8.09832772925369,0.16810256569894327,0.0005631701718537321,-1.3877787807814457e-17,255
3.200072999999975,8.517206749732328,8.656833089891874,0.17860944779594912,0.000563170171853732,0.026803270655627237,255
3.4000240000000304,9.075712110370514,9.075712110370514,0.18911255596637971,0.0008447552577805994,-1.3877787807814457e-17,247
3.599975000000086,9.634217471008698,9.634217471008698,0.20112042122010068,0.0008447552577805992,-1.3877787807814457e-17,247
3.8000480000000607,10.192722831646885,10.192722831646885,0.21312828647382168,0.0008447552577805989,-1.3877787807814457e-17,255
4.0,10.611601852125524,10.75122819228507,0.22363516857082755,0.0008447552577805988,0.026803270655627237,255
4.200072999999975,11.170107212763709,11.170107212763709,0.23413827674125812,0.0011263403437074652,-1.3877787807814457e-17,255
4.40002400000003,11.728612573401895,11.728612573401895,0.2461461419949791,0.001126340343707465,-1.3877787807814457e-17,247
4.599975000000086,12.28711793404008,12.28711793404008,0.2581540072487001,0.0011263403437074648,-1.3877787807814457e-17,231
4.800048000000061,12.845623294678266,12.845623294678266,0.2701618725024211,0.0011263403437074646,-1.3877787807814457e-17,255
5.0,13.264502315156905,13.404128655316452,0.280668754599427,0.0011263403437074644,0.026803270655627237,255
5.200072999999975,13.82300767579509,13.82300767579509,0.2911718627698575,0.0014079254296343307,-1.3877787807814457e-17,255
5.40002400000003,14.381513036433276,14.381513036433276,0.3031797280235785,0.0014079254296343305,-1.3877787807814457e-17,247
5.599975000000086,14.800392056911914,14.94001839707146,0.31368661012058435,0.0014079254296343303,0.026803270655627237,247
5.800048000000061,15.3588974175501,15.3588974175501,0.32418971829101495,0.0016895105155611977,-1.3877787807814457e-17,255
6.0,15.917402778188286,15.917402778188286,0.33619758354473595,0.0016895105155611974,-1.3877787807814457e-17,255
6.200072999999975,16.475908138826473,16.475908138826473,0.34820544879845694,0.0016895105155611972,-1.3877787807814457e-17,255
6.40002400000003,16.89478715930511,17.034413499464655,0.3587123308954628,0.001689510515561197,0.026803270655626897,247
6.599975000000086,17.453292519943297,17.453292519943297,0.36921543906589344,0.0019710956014880616,-1.3877787807814457e-17,247
6.800048000000061,18.01179788058148,18.01179788058148,0.3812233043196144,0.0019710956014880616,-1.3877787807814457e-17,255
7.0,18.570303241219666,18.570303241219666,0.39323116957333537,0.0019710956014880616,-1.3877787807814457e-17,255
7.200072999999975,19.128808601857852,19.128808601857852,0.40523903482705637,0.0019710956014880616,-1.3877787807814457e-17,255
7.40002400000003,19.54768762233649,19.54768762233649,0.41424493376734706,0.0019710956014880616,-1.3877787807814457e-17,247
7.599975000000086,20.106192982974676,20.106192982974676,0.42625279902106805,0.0019710956014880616,-1.3877787807814457e-17,247
7.800048000000061,20.664698343612862,20.664698343612862,0.43826066427478905,0.0019710956014880616,-1.3877787807814457e-17,255
8.0,21.0835773640915,21.22320370425105,0.4487675463717949,0.0019710956014880616,0.026803270655627577,255
